var,year,month,exposure_days
wind,1986,7,0.010891713804057596
wind,1986,8,0.028268259005177047
wind,1986,9,0.04231971563263998
wind,1986,10,0.009630108595672045
wind,1986,11,0.03329573404641753
wind,1986,12,0.033857747991912525
wind,1987,1,0.03148549931766023
wind,1987,2,0.02005782532781543
wind,1987,3,0.015370428730210368
wind,1987,4,0.01467503414761279
wind,1987,5,0.006380410279619982
wind,1987,6,0.0017686788027595466
wind,1987,7,0.003340883910445656
wind,1987,8,0.004751148531228026
wind,1987,9,0.029460392032711516
wind,1987,10,0.07392233724635097
wind,1987,11,0.05261434186978456
wind,1987,12,0.037933521167052314
wind,1988,1,0.038166674181018156
wind,1988,2,0.051219847998419374
wind,1988,3,0.019415612800910864
wind,1988,4,0.009993644170077799
wind,1988,5,0.0004411566425416931
wind,1988,6,0.0008206261880238818
wind,1988,7,0.0034148224375750284
wind,1988,8,0.002228933878847716
wind,1988,9,0.003226637270262246
wind,1988,10,0.04746013800293422
wind,1988,11,0.0314483261944562
wind,1988,12,0.016378335451553355
wind,1989,1,0.05094620347470944
wind,1989,2,0.04691915629377913
wind,1989,3,0.011187157747777053
wind,1989,4,0.015249273036072148
wind,1989,5,0.0006323639451625341
wind,1989,6,0.0018731684726632086
wind,1989,7,0.005648145128816081
wind,1989,8,0.003125170776847942
wind,1989,9,0.012360395137349626
wind,1989,10,0.023013210066555562
wind,1989,11,0.01300999054891911
wind,1989,12,0.06934699721825315
wind,1990,1,0.06034574081058959
wind,1990,2,0.08982862496770345
wind,1990,3,0.021282327586206896
wind,1990,4,0.0040512517282521535
wind,1990,5,0.0014109916207834848
wind,1990,6,0.0037587155124927042
wind,1990,7,0.0038065070453937055
wind,1990,8,0.02066809724534667
wind,1990,9,0.02536707972929305
wind,1990,10,0.009511282613720584
wind,1990,11,0.0159201254824249
wind,1990,12,0.024638648550794815
wind,1991,1,0.03193782662228434
wind,1991,2,0.03320754447087769
wind,1991,3,0.013975157910431576
wind,1991,4,0.014169399020164062
wind,1991,5,0.006858625657102622
wind,1991,6,0.0013456230660764273
wind,1991,7,0.006077746930034436
wind,1991,8,0.005080497375045996
wind,1991,9,0.016675842111223877
wind,1991,10,0.09276709717233193
wind,1991,11,0.021276984830890487
wind,1991,12,0.0351148979157013
wind,1992,1,0.021036152094872904
wind,1992,2,0.013258789798496434
wind,1992,3,0.011770426697028845
wind,1992,4,0.004951449227227635
wind,1992,5,0.009771284526716589
wind,1992,6,0.010163167719026913
wind,1992,7,0.004746853441705728
wind,1992,8,0.014586437676924814
wind,1992,9,0.008690800345095829
wind,1992,10,0.023459458006074
wind,1992,11,0.02592355846079547
wind,1992,12,0.025142998475775558
wind,1993,1,0.08271431571932687
wind,1993,2,0.028696757651261777
wind,1993,3,0.023224015940143134
wind,1993,4,0.010962082447201421
wind,1993,5,0.006126124279227317
wind,1993,6,0.0032078692735929117
wind,1993,7,0.0043301434862432625
wind,1993,8,0.010784717339269384
wind,1993,9,0.005656563183102373
wind,1993,10,0.014335877683830081
wind,1993,11,0.024312635438477784
wind,1993,12,0.05258909561193216
wind,1994,1,0.04365031800368972
wind,1994,2,0.033465022739443614
wind,1994,3,0.007662976442203426
wind,1994,4,0.009237913850373381
wind,1994,5,0.004093413243530294
wind,1994,6,0.0062945014040571845
wind,1994,7,0.0052833817283111754
wind,1994,8,0.014579515522021561
wind,1994,9,0.011368222760845353
wind,1994,10,0.017159078933844718
wind,1994,11,0.02793471854980354
wind,1994,12,0.03294962013585414
wind,1995,1,0.04898184202780457
wind,1995,2,0.013437147140784289
wind,1995,3,0.022292988234656256
wind,1995,4,0.0094832902654167
wind,1995,5,0.00148432060694323
wind,1995,6,0.0020501091680401413
wind,1995,7,0.004238004706282045
wind,1995,8,0.004698685883540208
wind,1995,9,0.010792334254959004
wind,1995,10,0.005113420267115603
wind,1995,11,0.023765270727334236
wind,1995,12,0.04282951482580186
wind,1996,1,0.04147445505373128
wind,1996,2,0.05303560620486866
wind,1996,3,0.012799724842767295
wind,1996,4,0.009843732247869382
wind,1996,5,0.0022657079755916978
wind,1996,6,0.004267693068330055
wind,1996,7,0.026860539804332114
wind,1996,8,0.005976369949103944
wind,1996,9,0.02356813871697988
wind,1996,10,0.009414140205117931
wind,1996,11,0.025579429394108413
wind,1996,12,0.03149691355725377
wind,1997,1,0.020546436309639666
wind,1997,2,0.0322974303132384
wind,1997,3,0.026067505015181087
wind,1997,4,0.007709393016427516
wind,1997,5,0.002116684552105764
wind,1997,6,0.005605670548803775
wind,1997,7,0.004729790704675872
wind,1997,8,0.0397080307926596
wind,1997,9,0.03199001618347274
wind,1997,10,0.016456531157343378
wind,1997,11,0.04323848726182154
wind,1997,12,0.026625876652546853
wind,1998,1,0.043073362430368536
wind,1998,2,0.02780228887452494
wind,1998,3,0.011354895223378875
wind,1998,4,0.019977850785730854
wind,1998,5,0.006326004902791784
wind,1998,6,0.0020766866798971706
wind,1998,7,0.0010010139057515075
wind,1998,8,0.00424692419511733
wind,1998,9,0.002192486688317509
wind,1998,10,0.04402068959834649
wind,1998,11,0.022930716179136636
wind,1998,12,0.0643887979188302
wind,1999,1,0.025018025279744643
wind,1999,2,0.03577293992799548
wind,1999,3,0.014702020304706137
wind,1999,4,0.009047347847566074
wind,1999,5,0.003190205139809991
wind,1999,6,0.004059805955037403
wind,1999,7,0.0010457561939631278
wind,1999,8,0.0063603673842633915
wind,1999,9,0.014567749106760633
wind,1999,10,0.03126120769697466
wind,1999,11,0.022728727379124666
wind,1999,12,0.07933156127963335
wind,2000,1,0.02809634351656255
wind,2000,2,0.015822844222965454
wind,2000,3,0.013513032693558882
wind,2000,4,0.005635308940159008
wind,2000,5,0.001327018104374744
wind,2000,6,0.00151346187383109
wind,2000,7,0.01239740555395882
wind,2000,8,0.005283061486951738
wind,2000,9,0.07244651167671884
wind,2000,10,0.03788510568356814
wind,2000,11,0.03390336290571279
wind,2000,12,0.030910616081685313
wind,2001,1,0.029667759363340155
wind,2001,2,0.018347561689736898
wind,2001,3,0.01267392173606593
wind,2001,4,0.00625092787494224
wind,2001,5,0.008633108273796241
wind,2001,6,0.00028288666730015804
wind,2001,7,0.01378252062884907
wind,2001,8,0.012771011472560942
wind,2001,9,0.02689491149813656
wind,2001,10,0.009520389714527082
wind,2001,11,0.031295379942595285
wind,2001,12,0.026804298819508285
wind,2002,1,0.04902252949199685
wind,2002,2,0.025080439608382705
wind,2002,3,0.007942538901539795
wind,2002,4,0.0056922972495699565
wind,2002,5,0.0021391563381869764
wind,2002,6,0.0018964693049762203
wind,2002,7,0.008774417724619558
